Taxon,Breast_S1,Breast-Melanin_S1,Crown_S1,Crown-Carotenoid_S1,Mantle_S1,Mantle-Carotenoid_S1,Body_S1,Body-Melanin_S1,TailCoverts_S1,TailCoverts-Melanin_S1,Wing_S1,Wing-Melanin_S1,Head_S1,Head-Carotenoid_S1,Body_S2,Body-Structural_S1,Body-Structural_S2,Crown_S2,Crown-Carotenoid_S2,Face_S1,Face_S2,Face-Melanin_S1,Face-Melanin_S2,Tail_S1,Tail_S2,Tail-Elongated_S1,Tail-Elongated_S2,Tail-Structural_S1,Tail-Structural_S2,Throat_S1,Throat_S2,Throat-Melanin_S1,Throat-Melanin_S2,Wings_S1,Wings_S2,Wings-Melanin_S1,Wings-Melanin_S2,Body-Melanin_S2,Mantle_S2,Mantle-Structural_S1,Mantle-Structural_S2,Tail-Melanin_S1,Tail-Melanin_S2,Wing_S2,Wing-Melanin_S2,Body_S3,Body-Melanin_S3,Body-Structural_S3,Crown_S3,Crown-Carotenoid_S3,Face_S3,Face-Melanin_S3,Mantle_S3,Mantle-Structural_S3,Tail_S3,Tail-Melanin_S3,Wing_S3,Wing-Melanin_S3,Head-Melanin_S1,Crown-Structural_S1,Crown-Melanin_S1,Crown-Melanin_S2,Crown-Structural_S2,Body-Carotenoid_S1,TailCoverts-Carotenoid_S1,Throat-Carotenoid_S1,Crown-Melanin_S3,Tail-Carotenoid_S1,Tail-Carotenoid_S2,Tail-Carotenoid_S3,Wings_S3,Wings-Carotenoid_S1,Wings-Carotenoid_S2,Wings-Carotenoid_S3,Face-Carotenoid_S1,Face-Carotenoid_S2,Head_S2,Head-Melanin_S2
Antilophia_bokermanni,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antilophia_galeata,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratopipra_erythrocephala,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratopipra_mentalis,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_caudata,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_lanceolata,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_linearis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_pareola,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropipo_flavicapilla,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropipo_unicolor,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
