Genus,Species,Stages,Dichromatism,Coordinated,Concentrated
Antilophia,bokermanni,1,1,0,0
Antilophia,galeata,1,1,0,0
Ceratopipra,erythrocephala,1,1,0,1
Ceratopipra,mentalis,1,1,0,0
Chiroxiphia,caudata,2,1,1,1
Chiroxiphia,lanceolata,2,1,1,1
Chiroxiphia,linearis,3,1,1,1
Chiroxiphia,pareola,2,1,1,1
Chloropipo,flavicapilla,1,1,0,NA
Chloropipo,unicolor,1,1,0,NA
Corapipo,altera,2,1,0,0
Corapipo,gutturalis,2,1,0,0
Corapipo,leucorrhoa,2,1,0,0
Cryptopipo,holochlora,0,0,0,NA
Heterocercus,flavivertex,1,1,0,0
Heterocercus,linteatus,1,1,0,0
Lepidothrix,coeruleocapilla,1,1,NA,NA
Lepidothrix,coronata,2,1,1,1
Lepidothrix,serena,1,1,1,1
Lepidothrix,suavissima,1,1,0,NA
Lepidothrix,vilasboasi,1,1,NA,NA
Lepidothrix,nattereri,1,1,NA,NA
Machaeropterus,pyrocephalus,1,1,1,0
Manacus,candei,1,1,0,1
Manacus,manacus,1,1,0,1
Masius,chrysopterus,3,1,1,0
Neopelma,aurifrons,0,0,0,0
Neopelma,pallescens,0,0,0,0
Pipra,aureola,1,1,1,0
Pipra,fasciicauda,2,1,1,0
Pipra,filicauda,1,1,1,0
Pseudopipra,pipra,2,1,0,0
Tyranneutes,virescens,1,1,0,0
Xenopipo,atronitens,1,1,0,NA
Xenopipo,uniformis,0,0,0,NA
