Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_plumage
0	0	-901.6545	-901.4661	-0.1883733	0.1883733
1	1	-972.9483	-972.0553	-0.8929975	0.8929975
2	0	-545.7221	-545.7048	-0.01733233	0.01733233
3	1	-543.9192	-543.9044	-0.0148183	0.0148183
4	0	-543.9227	-543.9079	-0.01483409	0.01483409
5	1	-544.0245	-544.011	-0.01353579	0.01353579
6	0	-545.963	-545.9514	-0.01158639	0.01158639
7	1	-544.0102	-543.9966	-0.01357193	0.01357193
8	0	-544.3668	-544.3539	-0.01293851	0.01293851
9	1	-543.8662	-543.8518	-0.01440154	0.01440154
10	0	-544.3146	-544.3016	-0.01301063	0.01301063
11	1	-543.973	-543.958	-0.01502061	0.01502061
12	0	-544.2345	-544.2189	-0.01562118	0.01562118
13	1	-544.1751	-544.1619	-0.01322885	0.01322885
14	0	-543.9124	-543.8976	-0.01478671	0.01478671
15	1	-546.0397	-546.0282	-0.01154042	0.01154042
16	0	-544.7525	-544.74	-0.01249985	0.01249985
17	1	-544.9274	-544.9108	-0.0165636	0.0165636
18	0	-543.8664	-543.852	-0.01440923	0.01440923
19	1	-544.3113	-544.2983	-0.01301533	0.01301533
20	0	-543.9111	-543.8972	-0.01390242	0.01390242
21	1	-544.9848	-544.9682	-0.01662629	0.01662629
22	0	-545.0375	-545.0209	-0.01668257	0.01668257
23	1	-544.5133	-544.5006	-0.01275544	0.01275544
24	0	-543.8748	-543.8606	-0.01413684	0.01413684
25	1	-544.8961	-544.8796	-0.01652887	0.01652887
26	0	-543.92	-543.9052	-0.01482191	0.01482191
27	1	-543.8737	-543.8596	-0.01414821	0.01414821
28	0	-544.3382	-544.3224	-0.01579651	0.01579651
29	1	-544.9122	-544.8999	-0.01234984	0.01234984
30	0	-544.0114	-543.9979	-0.01356867	0.01356867
31	1	-544.3077	-544.2919	-0.01574688	0.01574688
32	0	-544.5039	-544.4911	-0.01276657	0.01276657
33	1	-543.9405	-543.9256	-0.01490687	0.01490687
34	0	-543.893	-543.879	-0.01399803	0.01399803
