Iteration	Posterior	Likelihood	Prior	mu_plumage
0	-1854.72	-1854.245	-0.4749681	0.4749681
500	-744.6281	-744.6193	-0.008792912	0.008792912
1000	-744.5478	-744.5389	-0.008886341	0.008886341
1500	-744.508	-744.4982	-0.009759082	0.009759082
2000	-744.7166	-744.7079	-0.008706493	0.008706493
2500	-745.3117	-745.3012	-0.01046901	0.01046901
3000	-744.4785	-744.4688	-0.0097101	0.0097101
3500	-745.0905	-745.0801	-0.01032243	0.01032243
4000	-744.5491	-744.5392	-0.009819329	0.009819329
4500	-745.0966	-745.0863	-0.01032676	0.01032676
5000	-745.0034	-744.995	-0.008487754	0.008487754
5500	-744.425	-744.4159	-0.009093352	0.009093352
6000	-744.3768	-744.3674	-0.0094068	0.0094068
6500	-744.7897	-744.781	-0.00864365	0.00864365
7000	-744.3945	-744.3849	-0.009505795	0.009505795
7500	-744.4185	-744.4094	-0.009109541	0.009109541
8000	-744.3774	-744.368	-0.009412752	0.009412752
8500	-745.2524	-745.2441	-0.008338781	0.008338781
9000	-745.4744	-745.4638	-0.01056679	0.01056679
9500	-744.5192	-744.5094	-0.009776289	0.009776289
10000	-744.5249	-744.516	-0.008917022	0.008917022
10500	-744.409	-744.3994	-0.009555159	0.009555159
11000	-746.3774	-746.3664	-0.01101923	0.01101923
11500	-744.6292	-744.6204	-0.008791753	0.008791753
12000	-744.4371	-744.428	-0.009065798	0.009065798
12500	-747.8282	-747.8208	-0.007428075	0.007428075
13000	-744.9334	-744.9232	-0.01020503	0.01020503
13500	-744.4549	-744.4453	-0.009665757	0.009665757
14000	-744.4175	-744.4079	-0.009579443	0.009579443
14500	-745.5867	-745.5786	-0.008171188	0.008171188
15000	-744.4508	-744.4418	-0.009037486	0.009037486
15500	-744.3993	-744.3898	-0.009523862	0.009523862
16000	-744.4331	-744.424	-0.00907463	0.00907463
16500	-744.3739	-744.3646	-0.009363937	0.009363937
17000	-744.4008	-744.3916	-0.009161146	0.009161146
17500	-744.3748	-744.3654	-0.009382351	0.009382351
18000	-744.5045	-744.4956	-0.008946364	0.008946364
18500	-744.4616	-744.4526	-0.009017088	0.009017088
19000	-744.3758	-744.3665	-0.009292335	0.009292335
19500	-745.2733	-745.2628	-0.01044479	0.01044479
20000	-744.3899	-744.3807	-0.009202378	0.009202378
20500	-745.2322	-745.2239	-0.008349928	0.008349928
21000	-745.1294	-745.1191	-0.01034962	0.01034962
21500	-744.3779	-744.3685	-0.009416767	0.009416767
22000	-744.741	-744.7323	-0.00868477	0.00868477
22500	-745.278	-745.2675	-0.01044779	0.01044779
23000	-744.832	-744.8234	-0.008609879	0.008609879
23500	-744.398	-744.3884	-0.009518971	0.009518971
24000	-744.3737	-744.3644	-0.009331662	0.009331662
24500	-747.7872	-747.7756	-0.01157009	0.01157009
25000	-744.3798	-744.3706	-0.009256108	0.009256108
25500	-744.5305	-744.5208	-0.009793126	0.009793126
26000	-744.595	-744.5862	-0.00882922	0.00882922
26500	-744.468	-744.459	-0.009005574	0.009005574
27000	-746.1748	-746.1639	-0.01092742	0.01092742
27500	-744.6009	-744.591	-0.009886315	0.009886315
28000	-745.0883	-745.0779	-0.01032086	0.01032086
28500	-744.5302	-744.5204	-0.009792638	0.009792638
29000	-747.3432	-747.3356	-0.007557288	0.007557288
29500	-744.3757	-744.3663	-0.009394636	0.009394636
30000	-744.9329	-744.9227	-0.01020467	0.01020467
30500	-744.9679	-744.9594	-0.008511443	0.008511443
31000	-744.4328	-744.4238	-0.009075142	0.009075142
31500	-744.4743	-744.4653	-0.008994609	0.008994609
32000	-745.1194	-745.109	-0.01034265	0.01034265
32500	-744.506	-744.4962	-0.00975589	0.00975589
33000	-745.5552	-745.547	-0.008185826	0.008185826
33500	-745.0195	-745.0111	-0.008477261	0.008477261
34000	-745.1414	-745.131	-0.01035782	0.01035782
34500	-745.8277	-745.817	-0.01075864	0.01075864
35000	-744.6795	-744.6707	-0.008741148	0.008741148
35500	-744.4686	-744.4589	-0.00969209	0.00969209
36000	-744.374	-744.3646	-0.009365514	0.009365514
36500	-744.3805	-744.371	-0.009436549	0.009436549
37000	-744.8701	-744.86	-0.01015343	0.01015343
